objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1045,1002,L&T Vadodra,Conc.,National,Vadodara,Gujarat,L&T,22.015027,73.115049
1046,2001,Boriach Toll Plaza,PF,National,Navsari,Gujarat,NHAI,20.885548,73.052162
1047,2002,Charoti Toll Plaza,PF,National,Palghar,Maharashtra,NHAI,19.890544,72.942644
1048,2003,Bhagwada Toll Plaza,PF,National,Valsad,Gujarat,NHAI,20.43495,72.917204
1049,2004,Choryasi Toll Plaza,PF,National,Surat,Gujarat,NHAI,21.303367,72.95418
1050,2005,Ahmedabad Toll Plaza,Conc.,National,Ahmedabad,Gujarat,IRB,22.975793,72.650335
1051,2006,Ahmedabad (Ring Road) Toll Pl,Conc.,National,Ahmedabad,Gujarat,IRB,22.973846,72.473028
1052,2007,Nadiad Toll Plaza,Conc.,National,Kheda,Gujarat,IRB,22.696475,72.896397
1053,2008,Anand Toll Plaza,Conc.,National,Anand,Gujarat,IRB,22.594556,72.981298
1054,2009,Vadodara Toll Plaza,Conc.,National,Vadodara,Gujarat,IRB,22.413798,73.149308
1055,2011,Kheda,Conc.,National,Kheda,Gujarat,IRB,22.715938,72.740905
1056,2012,Vasad,Conc.,National,Anand,Gujarat,IRB,22.453302,73.070523
1057,6001,Gegal,Conc.,National,Ajmer,Rajasthan,Soma Isolux,26.551347,74.780202
1058,6002,Pipalaz,Conc.,National,Ajmer,Rajasthan,Soma Isolux,26.158577,74.371572
1059,7001,Manesar Toll Plaza,Conc.,National,Gurgaon,Haryana,Millinieum City  Expressway,28.395604,76.98176
1060,7002,IGI Toll Plaza,Conc.,National,New Delhi,Delhi,Millinieum City  Expressway,28.543853,77.115435
1061,8001,Jaipur Plaza,Conc.,National,Jaipur,Rajasthan,GVK,26.843328,75.615578
1062,8002,Kishangarh Plaza,Conc.,National,Ajmer,Rajasthan,GVK,26.595329,74.939169
1063,9001,Shahjahanpur Toll Plaza,Conc.,National,Alwar,Rajasthan,Pink City Expressway,27.99978,76.430522
1064,9002,Manoharpura Toll Plaza,Conc.,National,Jaipur,Rajasthan,Pink City Expressway,27.3056399,75.9535128
1065,9003,Daulatpura Toll Plaza,Conc.,National,Jaipur,Rajasthan,Pink City Expressway,27.0868994,75.8345568
1066,10002,Jojro Ka Kheda Toll Plaza,Conc.,National,Chittaurgarh,Rajasthan,IRB,25.082922,74.624379
1067,10004,Narayanpura Toll Plaza,Conc.,National,Udaipur,Rajasthan,NHAI,24.613529,74.233079
